Var1,Var2
ACALD,0
ACALDt,0
ACKr,-1.80256274826778
ACONTa,4.69464206744466
ACONTb,4.69464206744466
ACt2r,-1.80256274826778
ADK1,0
AKGDH,3.7963352083549
AKGt2r,0
ALCD2x,0
ATPM,8.39
ATPS4r,42.2114572238492
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.832613642682136
CO2t,-20.9625846323048
CS,4.69464206744466
CYTBD,40
D-LACt2,0
ENO,14.7944495491327
ETOHt2r,0
EX_ac(e),1.80256274826778
EX_acald(e),0
EX_akg(e),0
EX_co2(e),20.9625846323048
EX_etoh(e),0
EX_for(e),-0
EX_fru(e),0
EX_fum(e),0
EX_glc(e),-10
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),27.0276754510586
EX_h(e),18.5047924204714
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-4.54007567081715
EX_o2(e),-20
EX_pi(e),-3.06293580733478
EX_pyr(e),0
EX_succ(e),0
FBA,7.4251756145512
FBP,0
FORt2,0
FORti,0
FRD7,0
FRUpts2,0
FUM,3.7963352083549
FUMt2_2,0
G6PDH2r,5.23987078521864
GAPD,16.0400395585852
GLCpts,10
GLNS,0.212899308433822
GLNabc,0
GLUDy,-4.32717636238333
GLUN,0
GLUSy,0
GLUt2r,0
GND,5.23987078521864
H2Ot,-27.0276754510586
ICDHyr,4.69464206744466
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,3.7963352083549
ME1,0
ME2,0
NADH16,36.2036647916451
NADTRHD,0
NH4t,4.54007567081715
O2t,20
PDH,9.61767422575654
PFK,7.4251756145512
PFL,0
PGI,4.58944341803153
PGK,-16.0400395585852
PGL,5.23987078521864
PGM,-14.7944495491327
PIt2r,3.06293580733478
PPC,2.38593765446993
PPCK,0
PPS,0
PTAr,1.80256274826778
PYK,1.9763021527465
PYRt2r,0
RPE,2.89476450378584
RPI,-2.3451062814328
SUCCt2_2,0
SUCCt3,0
SUCDi,3.7963352083549
SUCOAS,-3.7963352083549
TALA,1.59766901439704
THD2,0
TKT1,1.59766901439704
TKT2,1.29709548938879
TPI,7.4251756145512
