Var1,Var2
ACALD,0
ACALDt,0
ACKr,-3.83327232669144
ACONTa,1.16486625894682
ACONTb,1.16486625894682
ACt2r,-3.83327232669144
ADK1,0
AKGDH,0.712355598768168
AKGt2r,0
ALCD2x,0
ATPM,8.39
ATPS4r,21.9766205915016
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.419418537564791
CO2t,-10.4848897712787
CS,1.16486625894682
CYTBD,20
D-LACt2,0
ENO,9.17777013803267
ETOHt2r,0
EX_ac(e),3.83327232669144
EX_acald(e),0
EX_akg(e),0
EX_co2(e),10.4848897712787
EX_etoh(e),0
EX_for(e),-0
EX_fru(e),0
EX_fum(e),0
EX_glc(e),-6
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),13.5401021663156
EX_h(e),12.2468081902411
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-2.28700540163329
EX_o2(e),-10
EX_pi(e),-1.5429149741396
EX_pyr(e),0
EX_succ(e),0
FBA,4.50296494932239
FBP,0
FORt2,0
FORti,0
FRD7,0
FRUpts2,0
FUM,0.712355598768168
FUMt2_2,0
G6PDH2r,3.23951829408575
GAPD,9.8052202702296
GLCpts,6
GLNS,0.107245320055317
GLNabc,0
GLUDy,-2.17976008157798
GLUN,0
GLUSy,0
GLUt2r,0
GND,3.23951829408575
H2Ot,-13.5401021663156
ICDHyr,1.16486625894682
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,0.712355598768168
ME1,0
ME2,0
NADH16,19.2876444012318
NADTRHD,0
NH4t,2.28700540163329
O2t,10
PDH,6.57003538072358
PFK,4.50296494932239
PFL,0
PGI,2.67450090571347
PGK,-9.8052202702296
PGL,3.23951829408575
PGM,-9.17777013803267
PIt2r,1.5429149741396
PPC,1.20188576124567
PPCK,0
PPS,0
PTAr,3.83327232669144
PYK,1.75816421393712
PYRt2r,0
RPE,1.85820081792226
RPI,-1.38131747616349
SUCCt2_2,0
SUCCt3,0
SUCDi,0.712355598768168
SUCOAS,-0.712355598768168
TALA,1.00480545499158
THD2,0
TKT1,1.00480545499158
TKT2,0.853395362930686
TPI,4.50296494932239
