Var1,Var2
ACALD,-9.38862434035314
ACALDt,0
ACKr,-45.7709346342501
ACONTa,1.40841871384022
ACONTb,1.40841871384022
ACt2r,-45.7709346342501
ADK1,0
AKGDH,0
AKGt2r,0
ALCD2x,-9.38862434035314
ATPM,8.39
ATPS4r,-6.95664137639621
Biomass_Ecoli_core_N(w/GAM)-Nmet2,1.30542099716398
CO2t,2.33239569563289
CS,1.40841871384022
CYTBD,20
D-LACt2,0
ENO,54.5768895514817
ETOHt2r,-9.38862434035314
EX_ac(e),45.7709346342501
EX_acald(e),0
EX_akg(e),0
EX_co2(e),-2.33239569563289
EX_etoh(e),9.38862434035314
EX_for(e),61.4604345016146
EX_fru(e),0
EX_fum(e),0
EX_glc(e),-30
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),-17.2118113242447
EX_h(e),118.418114338974
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-7.11819961333577
EX_o2(e),-10
EX_pi(e),-4.80225222226711
EX_pyr(e),-15
EX_succ(e),0
FBA,28.701497734121
FBP,0
FORt2,0
FORti,61.4604345016146
FRD7,0
FRUpts2,0
FUM,0
FUMt2_2,0
G6PDH2r,0
GAPD,56.529799363239
GLCpts,30
GLNS,0.33379614897483
GLNabc,0
GLUDy,-6.78440346436093
GLUN,0
GLUSy,0
GLUt2r,0
GND,0
H2Ot,17.2118113242447
ICDHyr,1.40841871384022
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,0
ME1,0
ME2,0
NADH16,20
NADTRHD,0
NH4t,7.11819961333577
O2t,10
PDH,0
PFK,28.701497734121
PFL,61.4604345016146
PGI,29.7323886955814
PGK,-56.529799363239
PGL,0
PGM,-54.5768895514817
PIt2r,4.80225222226711
PPC,3.74081440947311
PPCK,0
PPS,0
PTAr,45.7709346342501
PYK,20.1584311023807
PYRt2r,15
RPE,-0.938336612761471
RPI,-0.938336612761471
SUCCt2_2,0
SUCCt3,0
SUCDi,0
SUCOAS,0
TALA,-0.233539816392637
THD2,22.3828789594734
TKT1,-0.233539816392637
TKT2,-0.704796796368834
TPI,28.701497734121
