Var1,Var2
ACALD,0
ACALDt,0
ACKr,-10.0413464026655
ACONTa,0.561795083832519
ACONTb,0.561795083832519
ACt2r,-10.0413464026655
ADK1,0
AKGDH,0
AKGt2r,0
ALCD2x,0
ATPM,8.39
ATPS4r,33.4432202699583
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.520710986961274
CO2t,-29.5796801410241
CS,0.561795083832519
CYTBD,40
D-LACt2,0
ENO,-2.16318965313322
ETOHt2r,0
EX_ac(e),10.0413464026655
EX_acald(e),0
EX_akg(e),0
EX_co2(e),29.5796801410241
EX_etoh(e),0
EX_for(e),-0
EX_fru(e),0
EX_fum(e),0
EX_glc(e),0
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),15.4173749164484
EX_h(e),-15.4239358748842
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-2.83933286970244
EX_o2(e),-20
EX_pi(e),-1.91553950773447
EX_pyr(e),0
EX_succ(e),-17.9553723379964
FBA,-0.51795121873038
FBP,0.51795121873038
FORt2,0
FORti,0
FRD7,0
FRUpts2,0
FUM,17.9553723379964
FUMt2_2,0
G6PDH2r,0
GAPD,-1.38420601663916
GLCpts,0
GLNS,0.133145799365998
GLNabc,0
GLUDy,-2.70618707033644
GLUN,0
GLUSy,0
GLUt2r,0
GND,0
H2Ot,-15.4173749164484
ICDHyr,0.561795083832519
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,3.92564013070105
ME1,0
ME2,14.0297322072953
NADH16,22.0446276620036
NADTRHD,5.10156955375864
NH4t,2.83933286970244
O2t,20
PDH,12.5546621234314
PFK,0
PFL,0
PGI,-0.106745752327061
PGK,1.38420601663916
PGL,0
PGM,2.16318965313322
PIt2r,1.91553950773447
PPC,0
PPCK,2.43349072646482
PPS,0
PTAr,10.0413464026655
PYK,0
PYRt2r,0
RPE,-0.374287057427764
RPI,-0.374287057427764
SUCCt2_2,17.9553723379964
SUCCt3,0
SUCDi,17.9553723379964
SUCOAS,0
TALA,-0.093155195567372
THD2,0
TKT1,-0.093155195567372
TKT2,-0.281131861860392
TPI,-0.51795121873038
