Var1,Var2
DM_4CRSOL,1
DM_5DRIB,1
DM_AMOB,1
DM_MTHTHF,1
Ec_biomass_iJO1366_WT_53p95M,1
DM_5mtr_e,1
DM_ac_e,0
DM_acald_e,0
DM_acser_e,0
DM_akg_e,0
DM_ala-D_e,1
DM_ala-L_e,0
DM_alaala_e,1
DM_arg-L_e,0
DM_asn-L_e,0
DM_asp-L_e,0
DM_ca2_e,-1
DM_cbl1_e,-1
DM_cit_e,0
DM_cl_e,-1
DM_co2_e,1
DM_cobalt2_e,-1
DM_colipa_e,-1
DM_cu2_e,-1
DM_cys-L_e,0
DM_dha_e,0
DM_enter_e,0
DM_etoh_e,0
DM_fe2_e,-1
DM_fe3_e,-1
DM_for_e,0
DM_glc_e,0
DM_glcn_e,0
DM_glu-L_e,0
DM_gly_e,0
DM_glyc_e,0
DM_glyc-R_e,0
DM_glycogenn1_c,-1
DM_glyclt_e,0
DM_gthrd_e,0
DM_h_e,-1
DM_h2o_e,1
DM_his-L_e,0
DM_ile-L_e,0
DM_k_e,-1
DM_lac-D_e,-1
DM_leu-L_e,0
DM_lys-L_e,0
DM_mal-L_e,0
DM_meoh_e,1
DM_mg2_e,-1
DM_mn2_e,-1
DM_mobd_e,-1
DM_nh4_e,-1
DM_ni2_e,-1
DM_o2_e,-1
DM_phe-L_e,0
DM_pheme_e,0
DM_pi_e,-1
DM_pro-L_e,0
DM_pyr_e,0
DM_ser-L_e,0
DM_so4_e,-1
DM_spmd_e,0
DM_succ_e,0
DM_thr-L_e,0
DM_trp-L_e,0
DM_tyr-L_e,0
DM_val-L_e,0
DM_zn2_e,-1
5MTRtex,-1
ACALD,1
ACALDtex,0
ACALDtpp,0
ACKr,0
ACONTa,1
ACONTb,1
ACS,0
ACSERtex,0
ACt2rpp,0
ACtex,0
ADK1,1
AKGDH,1
AKGt2rpp,0
AKGtex,0
ALAALAtex,-1
ALAt2rpp,0
ALAtex,0
ALCD2x,0
ALDD2x,0
ALDD2y,0
ARGt3pp,0
ARGtex,0
ASNt2rpp,0
ASNtex,0
ASPO3,0
ASPO4,0
ASPO5,0
ASPO6,0
ASPT,0
ASPTA,-1
ASPt2rpp,0
ASPtex,0
ATPM,0
ATPS4rpp,1
CA2tex,1
CAt6pp,-1
CBL1tonex,1
CITL,0
CITt3pp,0
CITt7pp,0
CITtex,0
CLt3_2pp,1
CLtex,1
CO2tex,-1
CO2tpp,-1
COBALT2tex,1
COBALT2tpp,1
COLIPAabcpp,1
COLIPAabctex,1
CS,1
CU2tex,1
CU2tpp,1
CYSabc2pp,0
CYStex,0
CYStpp,0
CYTBD2pp,0
CYTBDpp,0
CYTBO3_4pp,1
D-LACt2pp,1
D-LACtex,1
DALAtex,-1
DB4PS,1
DHAPT,0
DHAtex,0
DHAtpp,0
DHORD2,0
DHORD5,0
DHORDfum,0
EDA,0
EDD,0
ENO,-1
ETOHtex,0
ETOHtrpp,0
F6PA,-1
FBA,-1
FBA3,0
FBP,1
FDH4pp,0
FDH5pp,0
FE2abcpp,0
FE2t2pp,0
FE2tex,1
FE2tpp,1
FE3abcpp,1
FE3tex,1
FEENTERtex,0
FEENTERtpp,0
FLDR2,0
FORtex,0
FORtppi,0
FRD3,0
FUM,1
G3PD2,-1
G3PD5,0
G3PD6,0
G3PD7,0
G3PT,0
G6PDH2r,0
G6PP,0
GAPD,-1
GLBRAN2,0
GLCDpp,0
GLCNtex,0
GLCP,0
GLCS1,1
GLCabcpp,0
GLCptspp,0
GLCt2pp,0
GLCtex,0
GLCtexi,0
GLDBRAN2,0
GLGC,1
GLUDy,-1
GLUabcpp,0
GLUt2rpp,-1
GLUt4pp,1
GLUtex,0
GLXCL,0
GLYCAt2rpp,0
GLYCAtex,0
GLYCDx,1
GLYCK,0
GLYCK2,0
GLYCLTDx,0
GLYCLTDy,0
GLYCLTt2rpp,0
GLYCLTtex,0
GLYCTO2,0
GLYCTO3,0
GLYCTO4,0
GLYCtex,0
GLYCtpp,-1
GLYK,0
GLYt2rpp,0
GLYtex,0
GND,0
GTHRDabc2pp,0
GTHRDtex,0
H2Otex,-1
H2Otpp,-1
HEX1,0
HISt2rpp,0
HIStex,0
Htex,1
ICDHyr,1
ICL,1
ILEt2rpp,0
ILEtex,0
Kabcpp,0
Kt2pp,1
Ktex,1
LDH_D,1
LDH_D2,0
LEUt2rpp,0
LEUtex,0
LYSt3pp,0
LYStex,0
MALS,1
MALt3pp,0
MALtex,0
MDH,1
MDH2,0
MDH3,0
ME1,0
ME2,0
MEOHtex,-1
MG2t3_2pp,1
MG2tex,1
MG2tpp,0
MG2uabcpp,0
MN2tpp,1
MNt2pp,0
MNtex,1
MOBDabcpp,1
MOBDtex,1
MOX,0
NADH10,0
NADH16pp,0
NADH17pp,0
NADH18pp,0
NADH5,0
NADH9,0
NADK,1
NADPHQR2,0
NADPHQR3,0
NADPHQR4,0
NADPPPS,0
NADTRHD,0
NAt3_1p5pp,0
NAt3_2pp,0
NAt3pp,0
NH4tex,1
NH4tpp,1
NI2tex,1
NI2tpp,1
NI2uabcpp,0
NTP1,0
NTPP6,0
O2tex,1
O2tpp,1
OAADC,0
PDH,1
PE160abcpp,1
PE161abcpp,1
PE181abcpp,1
PFK,0
PFK_3,0
PFL,1
PG160abcpp,1
PG161abcpp,1
PG181abcpp,1
PGI,-1
PGK,1
PGL,0
PGM,1
PGMT,-1
PHEMEabcpp,0
PHEMEtiex,0
PHEt2rpp,0
PHEtex,0
PIt2rpp,1
PItex,1
PIuabcpp,0
POR5,1
POX,0
PPA,0
PPA2,0
PPC,0
PPCK,0
PPK2r,-1
PPKr,-1
PPPGO,0
PPPGO3,1
PPS,1
PROt2rpp,0
PROtex,0
PTAr,0
PYK,0
PYRt2rpp,0
PYRtex,0
RPE,-1
RPI,-1
SERt2rpp,0
SERtex,0
SO4t2pp,1
SO4tex,1
SPMDt3pp,0
SPMDtex,0
SUCCt2_2pp,0
SUCCt2_3pp,0
SUCCt3pp,0
SUCCtex,0
SUCDi,1
SUCOAS,-1
SULabcpp,0
TALA,-1
THD2pp,1
THIORDXi,0
THRt2pp,0
THRt2rpp,0
THRtex,0
TKT1,-1
TKT2,-1
TPI,-1
TRDR,1
TRPt2rpp,0
TRPtex,0
TRSARr,0
TYRt2rpp,0
TYRtex,0
VALt2rpp,0
VALtex,0
ZN2tpp,1
ZNabcpp,0
Zn2tex,1
LMPD_1_10fthf_c,0
LMPD_2_10fthf_c,0
LMPD_3_10fthf_c,0
LMPD_4_10fthf_c,0
LMPD_5_2dmmql8_c,1
LMPD_6_2fe2s_c,0
LMPD_7_2fe2s_c,0
LMPD_8_2fe2s_c,0
LMPD_9_2fe2s_c,0
LMPD_10_2fe2s_c,0
LMPD_11_2fe2s_c,0
LMPD_12_2fe2s_c,0
LMPD_13_2fe2s_c,0
LMPD_14_4fe4s_c,0
LMPD_15_4fe4s_c,0
LMPD_16_4fe4s_c,0
LMPD_17_4fe4s_c,0
LMPD_18_4fe4s_c,0
LMPD_19_4fe4s_c,0
LMPD_20_4fe4s_c,0
LMPD_21_4fe4s_c,0
LMPD_22_5mthf_c,0
LMPD_23_5mthf_c,0
LMPD_24_accoa_c,0
LMPD_25_accoa_c,0
LMPD_26_adocbl_c,0
LMPD_27_adocbl_c,0
LMPD_28_adocbl_c,0
LMPD_29_adocbl_c,0
LMPD_30_ala-L_c,1
LMPD_31_amet_c,0
LMPD_32_amet_c,0
LMPD_33_arg-L_c,1
LMPD_34_asn-L_c,1
LMPD_35_bmocogdp_c,0
LMPD_36_bmocogdp_c,0
LMPD_37_bmocogdp_c,0
LMPD_38_bmocogdp_c,0
