Var1,Var2
DM_4CRSOL,1
DM_5DRIB,1
DM_AMOB,1
DM_MTHTHF,1
Ec_biomass_iJO1366_WT_53p95M,1
DM_5mtr_e,1
DM_ac_e,1
DM_acald_e,1
DM_acser_e,1
DM_akg_e,1
DM_ala-D_e,1
DM_ala-L_e,1
DM_alaala_e,1
DM_arg-L_e,1
DM_asn-L_e,1
DM_asp-L_e,1
DM_ca2_e,1
DM_cbl1_e,1
DM_cit_e,1
DM_cl_e,1
DM_co2_e,1
DM_cobalt2_e,1
DM_colipa_e,1
DM_cu2_e,1
DM_cys-L_e,1
DM_dha_e,1
DM_enter_e,1
DM_etoh_e,1
DM_fe2_e,1
DM_fe3_e,1
DM_for_e,1
DM_glc_e,1
DM_glcn_e,1
DM_glu-L_e,1
DM_gly_e,1
DM_glyc_e,1
DM_glyc-R_e,1
DM_glycogenn1_c,1
DM_glyclt_e,1
DM_gthrd_e,1
DM_h_e,1
DM_h2o_e,1
DM_his-L_e,1
DM_ile-L_e,1
DM_k_e,1
DM_lac-D_e,1
DM_leu-L_e,1
DM_lys-L_e,1
DM_mal-L_e,1
DM_meoh_e,1
DM_mg2_e,1
DM_mn2_e,1
DM_mobd_e,1
DM_nh4_e,1
DM_ni2_e,1
DM_o2_e,1
DM_phe-L_e,1
DM_pheme_e,1
DM_pi_e,1
DM_pro-L_e,1
DM_pyr_e,1
DM_ser-L_e,1
DM_so4_e,1
DM_spmd_e,1
DM_succ_e,1
DM_thr-L_e,1
DM_trp-L_e,1
DM_tyr-L_e,1
DM_val-L_e,1
DM_zn2_e,1
5MTRtex,1
ACALD,1
ACALDtex,1
ACALDtpp,1
ACKr,0
ACONTa,0
ACONTb,0
ACS,1
ACSERtex,1
ACt2rpp,1
ACtex,1
ADK1,1
AKGDH,1
AKGt2rpp,1
AKGtex,1
ALAALAtex,1
ALAt2rpp,1
ALAtex,1
ALCD2x,1
ALDD2x,1
ALDD2y,1
ARGt3pp,1
ARGtex,1
ASNt2rpp,1
ASNtex,1
ASPO3,1
ASPO4,1
ASPO5,1
ASPO6,1
ASPT,1
ASPTA,1
ASPt2rpp,1
ASPtex,1
ATPM,1
ATPS4rpp,1
CA2tex,1
CAt6pp,1
CBL1tonex,1
CITL,1
CITt3pp,1
CITt7pp,1
CITtex,1
CLt3_2pp,1
CLtex,1
CO2tex,1
CO2tpp,1
COBALT2tex,1
COBALT2tpp,1
COLIPAabcpp,1
COLIPAabctex,1
CS,1
CU2tex,1
CU2tpp,1
CYSabc2pp,1
CYStex,1
CYStpp,1
CYTBD2pp,1
CYTBDpp,1
CYTBO3_4pp,1
D-LACt2pp,1
D-LACtex,1
DALAtex,1
DB4PS,1
DHAPT,1
DHAtex,1
DHAtpp,1
DHORD2,1
DHORD5,1
DHORDfum,1
EDA,1
EDD,1
ENO,1
ETOHtex,1
ETOHtrpp,1
F6PA,1
FBA,1
FBA3,1
FBP,1
FDH4pp,1
FDH5pp,1
FE2abcpp,1
FE2t2pp,1
FE2tex,1
FE2tpp,1
FE3abcpp,1
FE3tex,1
FEENTERtex,1
FEENTERtpp,1
FLDR2,1
FORtex,0
FORtppi,1
FRD3,1
FUM,1
G3PD2,1
G3PD5,1
G3PD6,1
G3PD7,1
G3PT,1
G6PDH2r,1
G6PP,1
GAPD,1
GLBRAN2,1
GLCDpp,1
GLCNtex,1
GLCP,1
GLCS1,1
GLCabcpp,1
GLCptspp,1
GLCt2pp,1
GLCtex,0
GLCtexi,1
GLDBRAN2,1
GLGC,1
GLUDy,1
GLUabcpp,1
GLUt2rpp,0
GLUt4pp,1
GLUtex,1
GLXCL,1
GLYCAt2rpp,1
GLYCAtex,1
GLYCDx,1
GLYCK,1
GLYCK2,1
GLYCLTDx,1
GLYCLTDy,1
GLYCLTt2rpp,1
GLYCLTtex,1
GLYCTO2,1
GLYCTO3,1
GLYCTO4,1
GLYCtex,1
GLYCtpp,1
GLYK,1
GLYt2rpp,1
GLYtex,1
GND,1
GTHRDabc2pp,1
GTHRDtex,1
H2Otex,1
H2Otpp,1
HEX1,1
HISt2rpp,1
HIStex,1
Htex,1
ICDHyr,1
ICL,1
ILEt2rpp,1
ILEtex,1
Kabcpp,1
Kt2pp,1
Ktex,1
LDH_D,1
LDH_D2,1
LEUt2rpp,1
LEUtex,1
LYSt3pp,1
LYStex,1
MALS,1
MALt3pp,1
MALtex,1
MDH,1
MDH2,1
MDH3,1
ME1,1
ME2,1
MEOHtex,1
MG2t3_2pp,1
MG2tex,1
MG2tpp,1
MG2uabcpp,1
MN2tpp,1
MNt2pp,1
MNtex,1
MOBDabcpp,1
MOBDtex,1
MOX,1
NADH10,1
NADH16pp,1
NADH17pp,1
NADH18pp,1
NADH5,1
NADH9,1
NADK,1
NADPHQR2,1
NADPHQR3,1
NADPHQR4,1
NADPPPS,1
NADTRHD,1
NAt3_1p5pp,1
NAt3_2pp,1
NAt3pp,1
NH4tex,1
NH4tpp,1
NI2tex,1
NI2tpp,1
NI2uabcpp,1
NTP1,1
NTPP6,1
O2tex,1
O2tpp,1
OAADC,1
PDH,1
PE160abcpp,1
PE161abcpp,1
PE181abcpp,1
PFK,1
PFK_3,1
PFL,1
PG160abcpp,1
PG161abcpp,1
PG181abcpp,1
PGI,1
PGK,1
PGL,1
PGM,1
PGMT,1
PHEMEabcpp,1
PHEMEtiex,1
PHEt2rpp,1
PHEtex,1
PIt2rpp,1
PItex,1
PIuabcpp,1
POR5,1
POX,1
PPA,1
PPA2,1
PPC,1
PPCK,1
PPK2r,1
PPKr,1
PPPGO,1
PPPGO3,1
PPS,1
PROt2rpp,1
PROtex,1
PTAr,1
PYK,1
PYRt2rpp,1
PYRtex,1
RPE,1
RPI,1
SERt2rpp,1
SERtex,1
SO4t2pp,1
SO4tex,1
SPMDt3pp,1
SPMDtex,1
SUCCt2_2pp,1
SUCCt2_3pp,1
SUCCt3pp,1
SUCCtex,1
SUCDi,1
SUCOAS,1
SULabcpp,1
TALA,1
THD2pp,1
THIORDXi,1
THRt2pp,1
THRt2rpp,1
THRtex,1
TKT1,1
TKT2,1
TPI,1
TRDR,1
TRPt2rpp,1
TRPtex,1
TRSARr,1
TYRt2rpp,1
TYRtex,1
VALt2rpp,1
VALtex,1
ZN2tpp,1
ZNabcpp,1
Zn2tex,1
LMPD_1_10fthf_c,1
LMPD_2_10fthf_c,1
LMPD_3_10fthf_c,1
LMPD_4_10fthf_c,1
LMPD_5_2dmmql8_c,1
LMPD_6_2fe2s_c,1
LMPD_7_2fe2s_c,1
LMPD_8_2fe2s_c,1
LMPD_9_2fe2s_c,1
LMPD_10_2fe2s_c,1
LMPD_11_2fe2s_c,1
LMPD_12_2fe2s_c,1
LMPD_13_2fe2s_c,1
LMPD_14_4fe4s_c,1
LMPD_15_4fe4s_c,1
LMPD_16_4fe4s_c,1
LMPD_17_4fe4s_c,1
LMPD_18_4fe4s_c,1
LMPD_19_4fe4s_c,1
LMPD_20_4fe4s_c,1
LMPD_21_4fe4s_c,1
LMPD_22_5mthf_c,1
LMPD_23_5mthf_c,1
LMPD_24_accoa_c,1
LMPD_25_accoa_c,1
LMPD_26_adocbl_c,1
LMPD_27_adocbl_c,1
LMPD_28_adocbl_c,1
LMPD_29_adocbl_c,1
LMPD_30_ala-L_c,1
LMPD_31_amet_c,1
LMPD_32_amet_c,1
LMPD_33_arg-L_c,1
LMPD_34_asn-L_c,1
LMPD_35_bmocogdp_c,1
LMPD_36_bmocogdp_c,1
LMPD_37_bmocogdp_c,1
LMPD_38_bmocogdp_c,1
LMPD_39_btn_c,1
LMPD_40_btn_c,1
LMPD_41_btn_c,1
LMPD_42_btn_c,1
