Var1,Var2
DM_4CRSOL,1
DM_5DRIB,1
DM_AMOB,1
DM_MTHTHF,1
Ec_biomass_iJO1366_WT_53p95M,1
DM_5mtr_e,1
DM_ac_e,1
DM_ala-D_e,1
DM_alaala_e,1
DM_ca2_e,-1
DM_cbl1_e,-1
DM_cl_e,-1
DM_co2_e,-1
DM_cobalt2_e,-1
DM_cu2_e,-1
DM_etoh_e,1
DM_fe2_e,-1
DM_fe3_e,-1
DM_for_e,1
DM_glc_e,-1
DM_glcn_e,1
DM_glycogenn1_c,-1
DM_glyclt_e,1
DM_h_e,1
DM_h2o_e,-1
DM_k_e,-1
DM_meoh_e,1
DM_mg2_e,-1
DM_mn2_e,-1
DM_mobd_e,-1
DM_nh4_e,-1
DM_ni2_e,-1
DM_pi_e,-1
DM_so4_e,-1
DM_succ_e,1
DM_zn2_e,-1
5MTRtex,-1
ACALD,-1
ACKr,-1
ACONTa,1
ACONTb,1
ACt2rpp,-1
ACtex,-1
ADK1,1
ALAALAtex,-1
ALCD2x,-1
ASPO5,1
ASPTA,-1
ATPS4rpp,-1
CA2tex,1
CAt6pp,-1
CBL1tonex,1
CLt3_2pp,1
CLtex,1
CO2tex,1
CO2tpp,1
COBALT2tex,1
COBALT2tpp,1
COLIPAabcpp,1
COLIPAabctex,1
CS,1
CU2tex,1
CU2tpp,1
DALAtex,-1
DB4PS,1
DHORDfum,1
ENO,1
ETOHtex,-1
ETOHtrpp,-1
FE2tex,1
FE2tpp,1
FE3abcpp,1
FE3tex,1
FORtex,-1
FORtppi,1
FUM,1
G3PD2,-1
GAPD,1
GLCNtex,-1
GLCS1,1
GLCptspp,1
GLGC,1
GLUDy,-1
GLUt2rpp,-1
GLUt4pp,1
GLYCLTt2rpp,-1
GLYCLTtex,-1
GLYCtpp,-1
GLYK,1
H2Otex,1
H2Otpp,1
Htex,-1
ICDHyr,1
Kt2pp,1
Ktex,1
MDH,1
MEOHtex,-1
MG2t3_2pp,1
MG2tex,1
MN2tpp,1
MNtex,1
MOBDabcpp,1
MOBDtex,1
NADK,1
NH4tex,1
NH4tpp,1
NI2tex,1
NI2tpp,1
O2tpp,-1
PE160abcpp,1
PE161abcpp,1
PE181abcpp,1
PFL,1
PG160abcpp,1
PG161abcpp,1
PG181abcpp,1
PGI,1
PGK,-1
PGM,-1
PGMT,-1
PIt2rpp,1
PItex,1
POR5,1
PPC,1
PPK2r,-1
PPKr,-1
PPPGO3,1
PTAr,1
RPE,-1
RPI,-1
SO4t2pp,1
SO4tex,1
SUCCtex,-1
SUCOAS,1
TALA,-1
THD2pp,1
TKT1,-1
TKT2,-1
TPI,1
TRDR,1
ZN2tpp,1
Zn2tex,1
LMPD_5_2dmmql8_c,1
LMPD_30_ala-L_c,1
LMPD_33_arg-L_c,1
LMPD_34_asn-L_c,1
LMPD_43_btn_c,-1
LMPD_44_btn_c,-1
LMPD_45_btn_c,-1
LMPD_47_btn_c,-1
LMPD_51_chor_c,1
LMPD_61_clpn160_p,1
LMPD_65_clpn161_p,1
LMPD_78_clpn181_p,1
LMPD_86_colipa_e,1
LMPD_91_ctp_c,1
LMPD_98_dctp_c,1
LMPD_105_dttp_c,1
LMPD_107_enter_c,1
LMPD_116_gln-L_c,1
LMPD_117_gly_c,1
LMPD_124_hemeO_c,1
LMPD_125_hemeO_c,1
LMPD_128_ile-L_c,1
LMPD_129_leu-L_c,1
LMPD_134_lys-L_c,1
LMPD_153_mql8_c,1
LMPD_154_murein3p3p_p,1
LMPD_155_murein3px4p_p,1
LMPD_156_murein4p4p_p,1
LMPD_157_murein4px4p_p,1
LMPD_158_murein4px4px4p_p,1
LMPD_172_pe160_c,1
LMPD_173_pe161_c,1
LMPD_189_pe181_c,1
LMPD_199_pg160_c,1
LMPD_201_pg161_c,1
LMPD_216_pg181_c,1
LMPD_217_phe-L_c,1
LMPD_219_pheme_c,1
LMPD_220_pro-L_c,1
LMPD_221_ptrc_c,1
LMPD_223_pydx5p_c,1
LMPD_226_q8h2_c,1
LMPD_239_ser-L_c,1
LMPD_240_sheme_c,1
LMPD_249_thr-L_c,1
LMPD_250_trp-L_c,1
LMPD_251_tyr-L_c,1
LMPD_252_udcpdp_c,1
LMPD_253_utp_c,1
LMPD_254_val-L_c,1
